Subject,File,Task,Total_Distance,Average_Mouse_Speed,Max_Speed,Total_Time,Mouse_Sensible_Pause_Count,Average_Pause_Time,Average_Absolute_Acceleration,Max_Acceleration,Min_Acceleration,Action_Pause_Time,Avg_of_All_Pauses_Time,Mouse_Pause_Time,Key_Pause_Time,Episodes_Count,Direction_Changes,Total_Angle_Changes,Average_X_Direction_Speed,Average_Y_Direction_Speed,Average_X_Accel,Average_Y_Accel,Max_X_Speed,Max_Y_Speed,Max_X_Accel,Max_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Menu_Navigation_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time
01,ui-log_土_7-12-2024_15-14-32.txt,training,26886.18,234.80,22351.73,132.329,58,1.64,27784.65,4468850.68,-1026199.76,0.44,0.05,0.08,0.52,59,40,80066.59,192.46,73.47,27784.65,12329.33,22200.00,6833.33,4439147.12,1121354.95,1.42,65,65.92,3.41,0.01,27,4,5.00,0.48,0.00
01,ui-log_土_7-12-2024_15-20-28.txt,task_01,43564.15,175.51,10356.90,345.487,214,1.25,20725.09,484504.50,-403226.21,0.60,0.05,0.06,2.59,215,108,144724.98,123.44,96.43,20725.09,14982.66,9428.57,8125.00,500000.00,483498.83,1.03,251,97.77,6.23,0.01,89,6,5.33,0.90,7.70
01,ui-log_土_7-12-2024_15-28-23.txt,task_02,24837.07,309.38,13679.27,105.194,93,0.75,25266.44,428809.94,-360147.73,0.22,0.03,0.04,1.37,94,50,68665.07,217.84,164.76,25266.44,16895.29,12857.14,9714.29,410430.84,352040.82,0.57,113,145.12,1.63,0.01,37,4,6.25,0.53,3.88
01,ui-log_土_7-12-2024_15-30-37.txt,task_03,24157.22,326.91,25030.29,102.383,91,0.68,24832.56,4728381.74,-1424992.66,0.23,0.03,0.03,1.78,92,61,71821.28,228.39,176.35,24832.56,15975.53,23000.00,10125.00,4729729.73,835823.62,0.51,112,168.34,1.93,0.01,58,6,6.67,0.45,4.90
01,ui-log_土_7-12-2024_15-32-51.txt,task_04,23450.39,440.43,16017.57,78.937,74,0.63,27598.15,596857.46,-596857.46,0.18,0.03,0.03,1.43,75,52,55685.61,293.86,257.39,27598.15,19175.52,13250.00,9000.00,578125.00,315192.74,0.47,86,164.90,1.46,0.02,63,6,6.50,0.58,4.02
01,ui-log_土_7-12-2024_15-34-32.txt,task_05,23395.22,400.16,48373.55,81.72,80,0.60,34647.02,9104504.53,-9084116.38,0.20,0.03,0.03,1.48,82,52,61222.94,276.17,212.30,34647.02,20796.02,42000.00,24000.00,8410256.41,4520000.00,0.47,91,193.53,1.50,0.01,67,6,7.17,0.51,4.15
01,ui-log_土_7-12-2024_15-40-05.txt,task_06,26257.09,612.28,16445.33,68.74,59,0.71,32708.75,899962.90,-613882.15,0.21,0.03,0.03,1.38,60,43,46428.86,393.87,354.96,32708.75,22755.51,16285.71,13000.00,872222.22,707482.99,0.50,72,259.50,1.33,0.01,62,6,8.17,0.50,4.34
01,ui-log_土_7-12-2024_15-41-37.txt,task_07,22277.16,426.75,13060.56,76.214,67,0.71,28844.29,1261818.18,-534237.95,0.16,0.03,0.03,1.48,68,46,49086.31,280.41,249.74,28844.29,18919.98,11400.00,10250.00,1261818.18,421566.10,0.50,85,173.46,1.93,0.01,76,6,10.33,0.45,3.51
01,ui-log_土_7-12-2024_15-43-08.txt,task_08,27030.27,479.26,15634.86,83.011,63,0.86,36369.10,1275821.97,-453167.58,0.23,0.03,0.04,1.58,64,53,52791.20,338.21,251.46,36369.10,23152.24,15285.71,10714.29,1254563.05,704545.45,0.59,81,174.84,1.21,0.01,68,6,7.67,0.42,4.32
01,ui-log_土_7-12-2024_15-44-45.txt,task_09,24978.57,434.36,13238.20,80.903,74,0.67,27541.30,1714285.71,-656737.03,0.34,0.03,0.03,1.03,75,52,54329.53,291.08,231.28,27541.30,17910.64,13000.00,10714.29,812500.00,1714285.71,0.51,83,173.12,1.16,0.01,86,6,6.83,0.39,2.75
