Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Avg_Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density
05,ui-log_金_13-12-2024_12-58-44.txt,training,23639.86,293.97,137615.41,94.59,51,1.3731,66728.55,53247336.74,-53247336.74,0.57,0.04,0.06,1.29,52,42,41539.58,240.16,102.24,62207.47,26125.67,127000.00,53000.00,49250000.00,20250000.00,1.10,63,111.54,0.07,1.24,34,4,4.33,0.67,0.00,0.0307,0,0.4641,734.39,22.87
05,ui-log_金_13-12-2024_13-03-42.txt,task_01,19889.40,147.05,8824.83,186.385,128,0.9946,17595.37,851508.80,-311958.55,1.10,0.04,0.05,2.75,129,49,101888.23,102.53,77.92,14710.97,12588.86,8428.57,7285.71,823129.25,328125.00,0.79,157,73.69,0.10,2.06,69,6,7.17,1.05,7.83,0.0894,132,0.4433,534.16,24.37
05,ui-log_金_13-12-2024_13-08-05.txt,task_02,19384.50,307.60,9351.42,90.131,77,0.6310,22456.97,1121204.55,-264514.57,0.19,0.02,0.03,1.35,78,58,72050.40,204.59,177.18,17868.57,15649.67,8142.86,7714.29,1092517.01,356009.07,0.50,87,129.46,0.10,1.40,64,6,8.17,0.37,4.19,0.0649,0,0.5317,536.10,40.61
05,ui-log_金_13-12-2024_13-10-01.txt,task_03,19661.07,345.82,24331.05,77.99,58,0.7316,29594.92,9155126.42,-9155126.42,0.13,0.03,0.03,1.24,60,40,60081.44,245.40,186.09,24701.66,17607.58,24000.00,5500.00,9000000.00,1750000.00,0.52,75,97.83,0.08,1.32,44,6,5.17,0.73,3.65,0.0533,2,0.5841,633.04,39.49
05,ui-log_金_13-12-2024_13-11-53.txt,task_04,21891.69,381.67,12657.01,91.126,67,0.7717,24150.64,1494098.57,-620720.77,0.18,0.03,0.03,1.93,69,54,66693.62,275.15,204.05,20261.78,16091.49,10800.00,9000.00,1300000.00,740000.00,0.59,79,96.29,0.09,1.34,70,7,6.57,0.61,3.48,0.0532,4,0.5691,643.84,37.31
05,ui-log_金_13-12-2024_13-13-47.txt,task_05,18608.02,282.45,26076.81,85.975,82,0.5774,27184.05,6015311.30,-6015311.30,0.12,0.03,0.03,1.85,84,50,75244.18,191.72,156.74,22499.39,17760.21,22000.00,14000.00,5062500.00,3250000.00,0.45,95,74.77,0.15,1.67,62,6,7.17,0.49,4.37,0.0706,4,0.4492,453.86,39.71
05,ui-log_金_13-12-2024_13-18-03.txt,task_06,17572.88,311.21,8771.48,80.162,74,0.6154,22771.86,972222.22,-312500.00,0.15,0.03,0.03,1.40,75,34,67175.43,213.54,170.55,19447.93,15275.20,7571.43,5428.57,1000000.00,251543.21,0.48,84,161.90,0.11,1.65,38,4,4.17,0.73,3.85,0.0667,34,0.4605,485.24,38.81
05,ui-log_金_13-12-2024_13-19-43.txt,task_07,19207.46,355.18,12123.51,74.216,74,0.5147,24760.30,2342529.36,-1996246.69,0.17,0.02,0.03,1.07,75,43,59871.28,247.48,205.95,19984.09,17113.61,11285.71,5166.67,1875000.00,1933333.33,0.39,89,127.74,0.07,1.20,26,3,3.33,0.63,3.40,0.0544,30,0.4675,497.21,42.62
05,ui-log_金_13-12-2024_13-21-26.txt,task_08,18427.81,360.43,9808.37,90.653,70,0.8732,27024.90,744837.44,-461864.60,1.05,0.03,0.04,1.92,71,51,55110.25,262.82,182.11,22397.64,17577.48,9571.43,5142.86,709821.43,467314.02,0.64,89,143.99,0.05,1.14,25,3,2.83,0.67,2.60,0.0522,34,0.4132,489.49,29.17
05,ui-log_金_13-12-2024_13-23-25.txt,task_09,16145.76,346.27,8407.97,66.445,55,0.6514,25245.25,1165202.25,-360419.64,0.14,0.02,0.03,1.00,56,33,48664.61,227.35,202.67,20151.05,17249.54,8285.71,5142.86,1097222.22,539772.73,0.45,70,163.61,0.07,1.10,31,3,3.83,0.44,3.82,0.0526,4,0.5461,623.32,40.70
