Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count_proximity_threshold_10,Repeated_Mouse_Patterns_Count_proximity_threshold_20,Repeated_Mouse_Patterns_Count_proximity_threshold_30,Repeated_Mouse_Patterns_Count_proximity_threshold_40,Repeated_Mouse_Patterns_Count_proximity_threshold_50,Repeated_Mouse_Patterns_Count_proximity_threshold_60,Repeated_Mouse_Patterns_Count_proximity_threshold_70,Repeated_Mouse_Patterns_Count_proximity_threshold_80,Repeated_Mouse_Patterns_Count_proximity_threshold_90,Repeated_Mouse_Patterns_Count_proximity_threshold_100,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density_Window,Interaction_Density_Over_Task
01,ui-log_土_7-12-2024_15-14-32.txt,training,26886.18,234.80,22351.73,132.329,58,1.6418,27784.65,4468850.68,-1026199.76,0.44,0.05,0.08,0.52,59,40,80066.59,192.46,73.47,26377.16,12329.33,22200.00,6833.33,4439147.12,1121354.95,1.42,65,65.92,0.07,3.41,27,4,5.00,0.48,0.00,0.0520,0,0,0,0,0,0,0,0,0,0,0.6251,1084.19,21.15,21.15
01,ui-log_土_7-12-2024_15-20-28.txt,task_01,43564.15,175.51,10356.90,345.487,214,1.2469,20725.09,484504.50,-403226.21,0.60,0.05,0.06,2.59,215,108,144724.98,123.44,96.43,16956.57,14982.66,9428.57,8125.00,500000.00,483498.83,1.03,251,97.77,0.36,6.23,89,6,5.33,0.90,7.70,0.0580,40,46,50,66,74,86,110,130,136,146,0.3645,399.48,20.60,20.60
01,ui-log_土_7-12-2024_15-28-23.txt,task_02,24837.07,309.38,13679.27,105.194,93,0.7491,25266.44,428809.94,-360147.73,0.22,0.03,0.04,1.37,94,50,68665.07,217.84,164.76,20347.46,16895.29,12857.14,9714.29,410430.84,352040.82,0.57,113,145.12,0.12,1.63,37,4,6.25,0.53,3.88,0.0483,6,12,20,24,32,42,44,48,52,60,0.3762,465.92,30.90,30.90
01,ui-log_土_7-12-2024_15-30-37.txt,task_03,24157.22,326.91,25030.29,102.383,91,0.6811,24832.56,4728381.74,-1424992.66,0.23,0.03,0.03,1.78,92,61,71821.28,228.39,176.35,20470.52,15975.53,23000.00,10125.00,4729729.73,835823.62,0.51,112,168.34,0.16,1.93,58,6,6.67,0.45,4.90,0.0519,2,2,2,2,2,2,2,2,2,2,0.4376,505.78,35.60,35.60
01,ui-log_土_7-12-2024_15-32-51.txt,task_04,23450.39,440.43,16017.57,78.937,74,0.6276,27598.15,596857.46,-596857.46,0.18,0.03,0.03,1.43,75,52,55685.61,293.86,257.39,21380.70,19175.52,13250.00,9000.00,578125.00,315192.74,0.47,86,164.90,0.09,1.46,63,6,6.50,0.58,4.02,0.0414,0,0,0,8,10,10,10,16,26,32,0.4302,453.44,39.49,39.49
01,ui-log_土_7-12-2024_15-34-32.txt,task_05,23395.22,400.16,48373.55,81.72,80,0.6003,34647.02,9104504.53,-9084116.38,0.20,0.03,0.03,1.48,82,52,61222.94,276.17,212.30,28646.49,20796.02,42000.00,24000.00,8410256.41,4520000.00,0.47,91,193.53,0.09,1.50,67,6,7.17,0.51,4.15,0.0457,10,14,14,14,14,14,14,14,14,14,0.4072,399.70,38.78,38.78
01,ui-log_土_7-12-2024_15-40-05.txt,task_06,26257.09,612.28,16445.33,68.74,59,0.7064,32708.75,899962.90,-613882.15,0.21,0.03,0.03,1.38,60,43,46428.86,393.87,354.96,24697.34,22755.51,16285.71,13000.00,872222.22,707482.99,0.50,72,259.50,0.06,1.33,62,6,8.17,0.50,4.34,0.0309,2,2,2,14,18,18,18,18,18,24,0.4489,437.19,39.06,39.06
01,ui-log_土_7-12-2024_15-41-37.txt,task_07,22277.16,426.75,13060.56,76.214,67,0.7057,28844.29,1261818.18,-534237.95,0.16,0.03,0.03,1.48,68,46,49086.31,280.41,249.74,22479.15,18919.98,11400.00,10250.00,1261818.18,421566.10,0.50,85,173.46,0.11,1.93,76,6,10.33,0.45,3.51,0.0385,2,2,2,2,2,2,2,2,2,2,0.4228,425.21,36.42,36.42
01,ui-log_土_7-12-2024_15-43-08.txt,task_08,27030.27,479.26,15634.86,83.011,63,0.8558,36369.10,1275821.97,-453167.58,0.23,0.03,0.04,1.58,64,53,52791.20,338.21,251.46,28528.96,23152.24,15285.71,10714.29,1254563.05,704545.45,0.59,81,174.84,0.06,1.21,68,6,7.67,0.42,4.32,0.0341,0,2,4,10,16,16,16,18,18,20,0.4521,458.47,33.81,33.81
01,ui-log_土_7-12-2024_15-44-45.txt,task_09,24978.57,434.36,13238.20,80.903,74,0.6670,27541.30,1714285.71,-656737.03,0.34,0.03,0.03,1.03,75,52,54329.53,291.08,231.28,20598.64,17910.64,13000.00,10714.29,812500.00,1714285.71,0.51,83,173.12,0.08,1.16,86,6,6.83,0.39,2.75,0.0380,2,6,6,6,6,6,6,6,6,6,0.4188,398.81,38.73,38.73
